acc_v_max,acc_l_max
-8.1599998,-2.49
-8.1800003,-2.53
-8.21,-2.53
-8.1899996,-2.52
-8.2299995,-2.51
-8.1899996,-2.52
-8.1800003,-2.52
-8.1499996,-2.49
-8.1499996,-2.48
-8.1499996,-2.49
-8.1499996,-2.47
-8.1400003,-2.48
-8.1499996,-2.47
-8.1300001,-2.51
-8.21,-2.53
-8.21,-2.53
-8.1599998,-2.55
-8.1999998,-2.5599999
-8.1999998,-2.54
-8.1499996,-2.55
-8.1700001,-2.55
-8.1700001,-2.54
-8.1800003,-2.55
-8.1700001,-2.52
-8.1700001,-2.53
-8.1700001,-2.54
-8.1700001,-2.53
-8.1700001,-2.54
-8.1599998,-2.52
-8.1800003,-2.49
-8.1899996,-2.49
-8.1800003,-2.49
-8.1899996,-2.49
-8.1800003,-2.49
-8.1499996,-2.49
-8.1599998,-2.49
-8.1599998,-2.5
-8.1599998,-2.5
-8.1599998,-2.52
-8.1599998,-2.51
-8.1499996,-2.51
-8.1800003,-2.5
-8.1700001,-2.52
-8.1899996,-2.53
-8.1999998,-2.54
-8.2399998,-2.51
-8.1800003,-2.51
-8.1899996,-2.51
-8.21,-2.54
-8.1800003,-2.54
-8.1999998,-2.5699999
-8.1700001,-2.55
-8.1800003,-2.5
-8.1899996,-2.5
-8.1899996,-2.5
-8.1700001,-2.5
-8.1700001,-2.52
-8.1800003,-2.51
-8.1800003,-2.52
-8.1800003,-2.51
-8.1800003,-2.51
-8.1800003,-2.54
-8.1800003,-2.52
-8.21,-2.53
-8.1800003,-2.54
-8.1899996,-2.55
-8.1899996,-2.52
-8.1899996,-2.51
-8.1800003,-2.52
-8.1999998,-2.52
-8.1899996,-2.52
-8.1899996,-2.52
-8.1899996,-2.52
-8.1899996,-2.52
-8.1899996,-2.53
-8.1800003,-2.52
-8.1800003,-2.52
-8.1899996,-2.53
-8.1899996,-2.53
-8.1899996,-2.53
-8.1899996,-2.53
-8.1899996,-2.53
-8.1899996,-2.53
-8.1899996,-2.53
-8.1899996,-2.54
-8.1999998,-2.52
-8.1999998,-2.52
-8.1999998,-2.52
-8.1899996,-2.52
-8.1999998,-2.53
-8.1800003,-2.53
-8.1899996,-2.53
-8.21,-2.54
-8.1899996,-2.54
-8.21,-2.54
-8.2200003,-2.55
-8.21,-2.55
-8.1999998,-2.54
-8.1999998,-2.54
-8.2200003,-2.6199999
-8.1899996,-2.55
-8.1899996,-2.55
-8.1999998,-2.55
-8.1899996,-2.55
-8.1899996,-2.54
-8.1899996,-2.54
-8.1999998,-2.55
-8.1899996,-2.5599999
-8.1999998,-2.5599999
-8.21,-2.55
-8.1999998,-2.55
-8.2299995,-2.5599999
-8.1999998,-2.54
-8.21,-2.54
-8.1999998,-2.54
-8.1999998,-2.54
-8.1999998,-2.54
-8.1999998,-2.54
-8.21,-2.53
-8.1999998,-2.54
-8.1999998,-2.53
-8.1999998,-2.53
-8.1999998,-2.54
-8.1999998,-2.53
-8.1999998,-2.54
-8.21,-2.53
-8.1999998,-2.53
-8.21,-2.53
-8.21,-2.53
-8.21,-2.54
-8.1999998,-2.55
-8.1999998,-2.53
-8.1899996,-2.52
-8.1899996,-2.52
-8.1999998,-2.53
-8.1899996,-2.53
-8.1599998,-2.53
-8.1700001,-2.52
-8.1800003,-2.5
-8.1800003,-2.49
-8.1800003,-2.49
-8.1800003,-2.49
-8.1599998,-2.48
-8.1599998,-2.48
-8.1599998,-2.47
-8.1599998,-2.48
-8.1599998,-2.47
-8.1599998,-2.47
-8.1700001,-2.48
-8.1700001,-2.49
-8.1999998,-2.5
-8.1599998,-2.5
-8.1800003,-2.51
-8.1999998,-2.52
-8.1999998,-2.49
-8.1999998,-2.49
-8.1999998,-2.49
-8.1899996,-2.51
-8.1599998,-2.49
